Date,CashPool,SharesValue,EquityOpen,EquityHigh,EquityLow,EquityClose,EquityPct,EquityGrowth,Drawdown,DrawdownPct,EquityPeak,EquityTrough,DailyStrategyReturn,CumulativeStrategyReturn,WeeklyStrategyReturn,MonthlyStrategyReturn,ComparisonIndexValue,ComparisonIndexPct,StrategyRisk,StrategyRiskPct,NumPositions,SharesPct,CashPct
2013-03-21,1247.1402498093926,19049.73681,20390.62702980939,20534.858859809392,20031.07594980939,20296.87705980939,1.4843852990469533,1.0148438529904695,-619.7081099999996,-2.929429427151178,21154.56696980939,19902.532939809393,0.0009451934828215158,0.01484385299046953,-0.00929278115227472,0.0035554841757752254,46.76,6.417842512517069,2629.731019974011,12.956333194633377,6,93.8555067061085,6.144493293891511
2013-03-22,1247.1402498093926,18941.63865,20094.48778980939,20440.769429809396,19946.323849809392,20188.778899809393,0.9438944990469645,1.0094389449904697,-713.7975399999959,-3.3742006679630343,21154.56696980939,19902.532939809393,-0.005325851838263729,0.009438944990469711,-0.030429935079319126,-0.006423372132044358,46.92,6.781975421028685,2648.897379974011,13.120641882897733,6,93.8226068253134,6.1773931746865935
2013-03-25,1247.1402498093926,19123.23791,20123.59222980939,20511.299649809393,20026.332569809394,20370.378159809392,1.8518907990469597,1.0185189079904695,-643.267319999999,-3.040796443236271,21154.56696980939,19902.532939809393,0.008995059131670091,0.018518907990469513,0.004012490756061249,0.0034499368330953573,47.14,7.282658170232141,2540.799219974011,12.473009583037538,6,93.87767747841819,6.122322521581809
2013-03-26,1247.1402498093926,19069.704579999998,20329.181499809394,20467.836659809393,20111.31183980939,20316.84482980939,1.5842241490469495,1.0158422414904695,-686.730309999999,-3.246250849663157,21154.56696980939,19902.532939809393,-0.0026279988314416025,0.015842241490469533,-0.00011787596398216138,-0.00017850215567161154,46.73,6.34956759217114,2722.398479974011,13.399710943205308,6,93.8615456275004,6.138454372499596
2013-03-27,1247.1402498093926,19385.0145,20497.79625980939,20694.862579809393,20311.830039809392,20632.154749809393,3.160773749046966,1.0316077374904697,-459.70438999999897,-2.173073978096849,21154.56696980939,19902.532939809393,0.015519630269429152,0.031607737490469745,0.017479490424100685,0.01907752568202148,47.16,7.328174783796084,2668.865149974011,12.935464968818474,6,93.9553562634028,6.0446437365971875
2013-03-28,1247.1402498093926,19319.72639,20565.291809809394,20743.16590980939,20375.46625980939,20566.866639809392,2.8343331990469594,1.0283433319904696,-411.40106000000014,-1.9447387440599877,21154.56696980939,19902.532939809393,-0.00316438640518657,0.028343331990469567,0.013302025686238172,0.009426164407873694,46.92,6.781975421028685,2984.175069974011,14.509624252621048,6,93.93616795571856,6.063832044281446
2013-04-02,1247.1402498093926,19329.46866,20710.38440980939,20815.65440980939,20462.22286980939,20576.60890980939,2.8830445490469536,1.0288304454904695,-338.91256000000067,-1.602077511128815,21154.56696980939,19902.532939809393,0.000473687614677365,0.028830445490469536,0.01921017669888192,0.016265658642837133,47.04,7.055075102412384,2918.886959974011,14.185461621824885,6,93.93903895789725,6.060961042102759
2013-04-03,1247.1402498093926,19372.607160000003,20757.445169809394,20854.66694980939,20375.78331980939,20619.747409809395,3.0987370490469766,1.0309873704904697,-299.90002000000095,-1.4176608787502074,21154.56696980939,19902.532939809393,0.0020964824762470524,0.030987370490469734,0.01224175850068443,0.004839111618212488,46.74,6.372325898953128,2928.629229974011,14.203031549168152,6,93.95171907287238,6.0482809271276174
2013-04-04,1247.1402498093926,19165.63829,20554.592969809393,20648.76296980939,20286.527629809392,20412.77853980939,2.0638926990469555,1.0206389269904697,-505.8040000000001,-2.3909919816456426,21154.56696980939,19902.532939809393,-0.010037410540807312,0.020638926990469653,0.004721880331499451,-0.013397319379920836,46.37,5.530268548020027,2971.7677299740108,14.558369524160625,6,93.89039445376241,6.1096055462375976
2013-04-05,1247.1402498093926,19193.912679999998,20373.47553980939,20587.848149809393,20176.674439809394,20441.05292980939,2.2052646490469487,1.0220526464904696,-566.7188199999982,-2.6789431370010433,21154.56696980939,19902.532939809393,0.0013851318645747845,0.022052646490469563,-0.009262329713854434,-0.01328590545812447,46.19,5.12061902594447,2764.798859974011,13.525716456328322,6,93.89884535746847,6.101154642531529
